run_accession,study_accession,sample_accession,experiment_accession,tax_id
ERR13577123,PRJEB79238,SAMEA115941120,ERX12947026,410658
ERR13577125,PRJEB79238,SAMEA115941122,ERX12947028,410658
ERR13577129,PRJEB79238,SAMEA115941126,ERX12947032,410658
ERR13577130,PRJEB79238,SAMEA115941127,ERX12947033,410658
ERR13577137,PRJEB79238,SAMEA115941154,ERX12947040,410658
ERR13577142,PRJEB79238,SAMEA115941139,ERX12947045,410658
ERR13577145,PRJEB79238,SAMEA115941142,ERX12947048,410658
ERR13577153,PRJEB79238,SAMEA115941150,ERX12947056,410658
ERR13577158,PRJEB79238,SAMEA115941160,ERX12947061,410658
ERR13576988,PRJEB79238,SAMEA115940990,ERX12946891,410658
ERR13576993,PRJEB79238,SAMEA115940995,ERX12946896,410658
ERR13576997,PRJEB79238,SAMEA115940999,ERX12946900,410658
ERR13576998,PRJEB79238,SAMEA115941000,ERX12946901,410658
ERR13577001,PRJEB79238,SAMEA115941003,ERX12946904,410658
ERR13577002,PRJEB79238,SAMEA115941004,ERX12946905,410658
ERR13577005,PRJEB79238,SAMEA115941007,ERX12946908,410658
ERR13577011,PRJEB79238,SAMEA115941013,ERX12946914,410658
ERR13577016,PRJEB79238,SAMEA115941018,ERX12946919,410658
ERR13577018,PRJEB79238,SAMEA115941020,ERX12946921,410658
ERR13577019,PRJEB79238,SAMEA115941021,ERX12946922,410658
ERR13577025,PRJEB79238,SAMEA115941027,ERX12946928,410658
ERR13577030,PRJEB79238,SAMEA115941032,ERX12946933,410658
ERR13577031,PRJEB79238,SAMEA115941033,ERX12946934,410658
ERR13577032,PRJEB79238,SAMEA115941034,ERX12946935,410658
ERR13577033,PRJEB79238,SAMEA115941035,ERX12946936,410658
ERR13577034,PRJEB79238,SAMEA115941036,ERX12946937,410658
ERR13577037,PRJEB79238,SAMEA115941039,ERX12946940,410658
ERR13577047,PRJEB79238,SAMEA115941049,ERX12946950,410658
ERR13577051,PRJEB79238,SAMEA115941053,ERX12946954,410658
ERR13577054,PRJEB79238,SAMEA115941056,ERX12946957,410658
ERR13577055,PRJEB79238,SAMEA115941057,ERX12946958,410658
ERR13577056,PRJEB79238,SAMEA115941058,ERX12946959,410658
ERR13577065,PRJEB79238,SAMEA115941067,ERX12946968,410658
ERR13577067,PRJEB79238,SAMEA115941069,ERX12946970,410658
ERR13577068,PRJEB79238,SAMEA115941070,ERX12946971,410658
ERR13577069,PRJEB79238,SAMEA115941071,ERX12946972,410658
ERR13577072,PRJEB79238,SAMEA115941074,ERX12946975,410658
ERR13577073,PRJEB79238,SAMEA115941090,ERX12946976,410658
ERR13577075,PRJEB79238,SAMEA115941092,ERX12946978,410658
ERR13577077,PRJEB79238,SAMEA115941094,ERX12946980,410658
ERR13577081,PRJEB79238,SAMEA115941078,ERX12946984,410658
ERR13577085,PRJEB79238,SAMEA115941082,ERX12946988,410658
ERR13577087,PRJEB79238,SAMEA115941084,ERX12946990,410658
ERR13577089,PRJEB79238,SAMEA115941086,ERX12946992,410658
ERR13577092,PRJEB79238,SAMEA115941089,ERX12946995,410658
ERR13577093,PRJEB79238,SAMEA115941097,ERX12946996,410658
ERR13577096,PRJEB79238,SAMEA115941096,ERX12946999,410658
ERR13577097,PRJEB79238,SAMEA115941099,ERX12947000,410658
ERR13577100,PRJEB79238,SAMEA115941102,ERX12947003,410658
ERR13577101,PRJEB79238,SAMEA115941103,ERX12947004,410658
ERR13577103,PRJEB79238,SAMEA115941105,ERX12947006,410658
ERR13577104,PRJEB79238,SAMEA115941106,ERX12947007,410658
ERR13577105,PRJEB79238,SAMEA115941107,ERX12947008,410658
ERR13577107,PRJEB79238,SAMEA115941109,ERX12947010,410658
ERR13577108,PRJEB79238,SAMEA115941110,ERX12947011,410658
ERR13577112,PRJEB79238,SAMEA115941114,ERX12947015,410658
ERR13577113,PRJEB79238,SAMEA115941130,ERX12947016,410658
ERR13577118,PRJEB79238,SAMEA115941115,ERX12947021,410658
ERR13577119,PRJEB79238,SAMEA115941116,ERX12947022,410658
ERR13577127,PRJEB79238,SAMEA115941124,ERX12947030,410658
ERR13577133,PRJEB79238,SAMEA115941135,ERX12947036,410658
ERR13577135,PRJEB79238,SAMEA115941152,ERX12947038,410658
ERR13577138,PRJEB79238,SAMEA115941155,ERX12947041,410658
ERR13577140,PRJEB79238,SAMEA115941137,ERX12947043,410658
ERR13577143,PRJEB79238,SAMEA115941140,ERX12947046,410658
ERR13577154,PRJEB79238,SAMEA115941156,ERX12947057,410658
ERR13577155,PRJEB79238,SAMEA115941157,ERX12947058,410658
ERR13577156,PRJEB79238,SAMEA115941158,ERX12947059,410658
ERR13577157,PRJEB79238,SAMEA115941159,ERX12947060,410658
ERR13576992,PRJEB79238,SAMEA115940994,ERX12946895,410658
ERR13576995,PRJEB79238,SAMEA115940997,ERX12946898,410658
ERR13576999,PRJEB79238,SAMEA115941001,ERX12946902,410658
ERR13577000,PRJEB79238,SAMEA115941002,ERX12946903,410658
ERR13577006,PRJEB79238,SAMEA115941008,ERX12946909,410658
ERR13577007,PRJEB79238,SAMEA115941009,ERX12946910,410658
ERR13577010,PRJEB79238,SAMEA115941012,ERX12946913,410658
ERR13577012,PRJEB79238,SAMEA115941014,ERX12946915,410658
